EmployeeID,Age,Gender,Department,Tenure,PerformanceScore,JobSatisfaction,EngagementScore,TrainingHours,PromotionLastYear,Turnover
128,46,M,Finance,2,2.7,3.5,4.9,87,No,0
129,26,F,Marketing,6,2.5,3.6,1.5,10,Yes,0
130,57,M,Marketing,7,4.8,4.8,3.2,9,No,0
131,50,M,IT,8,1.0,3.8,4.3,30,No,0
132,21,F,HR,2,2.0,2.9,2.2,14,Yes,0
133,47,M,IT,9,4.2,3.6,3.2,55,Yes,0
134,59,F,Finance,2,3.2,3.0,4.9,4,Yes,0
135,59,M,HR,1,1.4,3.9,4.9,36,Yes,1
136,52,M,IT,1,3.6,4.8,1.8,80,Yes,0
137,29,F,Finance,6,3.7,4.0,2.2,59,Yes,1
138,26,F,Finance,5,4.5,3.3,4.0,55,Yes,0
139,34,M,IT,3,4.0,2.4,3.2,34,No,0
140,27,F,IT,2,1.2,1.2,3.5,58,No,0
141,30,F,HR,8,2.1,1.7,3.3,42,Yes,0
142,44,F,Marketing,9,2.5,4.4,2.4,54,No,0
143,61,F,Sales,5,1.8,1.8,5.0,25,No,1
144,60,F,Marketing,9,2.9,1.3,1.5,42,Yes,1
145,32,M,HR,8,3.3,1.4,1.5,6,No,1
146,50,F,Marketing,7,4.5,2.3,1.0,69,Yes,1
147,31,M,HR,2,3.7,2.2,2.2,25,No,0
148,57,M,Finance,2,2.7,4.1,4.9,51,No,0
149,45,M,IT,5,3.0,4.5,3.8,70,Yes,0
150,18,F,Finance,6,4.3,4.4,2.7,31,Yes,0
151,62,M,IT,5,1.8,4.2,3.5,18,Yes,0
152,35,M,IT,7,2.6,3.0,5.0,16,No,0
153,44,F,Sales,1,3.1,1.3,2.9,49,Yes,1
154,55,M,IT,1,3.7,2.0,1.6,65,Yes,0
155,27,M,HR,7,4.3,2.9,2.5,91,No,1
156,64,M,Sales,4,4.4,2.7,2.3,93,No,0
157,60,F,Finance,3,4.3,3.7,1.7,51,Yes,1
158,35,F,Marketing,7,2.1,1.2,2.0,66,Yes,1
159,48,F,Sales,5,1.2,2.3,4.0,88,Yes,0
160,60,F,Finance,5,1.4,2.4,2.6,37,No,1
161,55,M,Finance,6,2.0,4.1,2.4,3,Yes,1
162,25,M,IT,1,4.2,1.8,1.1,21,No,1
163,50,M,Sales,5,3.6,3.4,3.3,60,Yes,0
164,45,F,Finance,4,1.8,1.7,3.7,91,No,1
165,52,M,Marketing,4,4.0,2.0,1.6,62,Yes,0
166,50,F,Marketing,3,4.0,4.4,4.6,15,Yes,1
167,43,F,Sales,2,2.7,2.7,2.9,48,Yes,0
168,20,M,IT,6,4.0,3.1,1.4,71,Yes,0
169,57,M,HR,8,3.5,4.1,1.3,47,No,1
170,46,F,Sales,8,4.7,2.5,4.9,58,No,1
171,64,F,Finance,8,1.0,4.3,4.1,17,No,1
172,20,F,Sales,3,1.2,1.2,2.8,90,Yes,0
173,63,M,IT,1,2.3,4.8,2.4,15,Yes,1
174,20,F,HR,9,1.3,3.2,4.7,67,No,1
175,48,M,Sales,1,4.2,4.9,1.8,60,Yes,0
176,52,F,IT,3,1.5,2.8,3.5,19,Yes,0
177,39,M,HR,7,2.2,3.9,3.3,29,No,0
178,53,M,Sales,5,1.5,2.4,1.6,44,Yes,0
179,26,M,IT,8,4.6,4.1,1.6,47,No,0
180,25,F,HR,9,1.2,3.4,3.6,15,Yes,0
181,23,F,HR,9,3.5,3.6,3.6,10,No,1
182,34,M,Finance,8,2.7,2.0,1.8,83,Yes,1
183,48,F,IT,6,2.4,3.7,3.4,27,Yes,0
184,24,M,Marketing,6,1.4,4.9,3.2,92,No,1
185,32,F,HR,2,2.5,1.0,2.9,3,No,0
186,50,F,HR,1,4.9,4.6,2.8,69,Yes,0
187,37,F,Sales,1,4.5,3.3,1.8,19,No,1
188,52,F,HR,5,4.7,2.3,2.6,58,Yes,0
189,51,M,Finance,2,4.9,3.8,4.0,2,Yes,0
190,56,M,Marketing,1,4.7,3.2,1.9,6,Yes,0
191,51,M,Sales,7,1.8,1.9,1.8,64,No,1
192,37,M,HR,5,2.2,1.4,2.1,71,Yes,1
193,48,M,Marketing,3,3.1,2.7,4.4,50,Yes,1
194,48,F,HR,3,3.2,4.7,1.4,14,No,0
195,54,F,Finance,7,4.6,3.1,4.2,52,Yes,0
196,63,F,Finance,9,1.5,2.4,4.9,84,No,1
197,59,F,Marketing,4,4.5,4.8,2.4,68,Yes,1
198,25,F,Finance,5,1.7,3.1,2.4,81,No,1
199,50,M,Marketing,2,2.9,3.1,3.7,42,Yes,1
200,63,M,IT,7,2.1,2.2,2.1,56,Yes,0
201,29,F,Marketing,8,3.5,4.1,3.0,63,Yes,1
202,32,F,IT,7,2.2,4.9,4.0,60,No,1
203,34,F,HR,2,3.3,1.9,3.7,77,No,1
204,48,M,Marketing,1,2.1,4.6,2.9,34,No,0
205,47,F,Marketing,1,4.1,2.5,1.5,53,Yes,1
206,60,F,IT,5,1.8,4.0,4.1,20,No,1
207,38,F,Sales,5,1.7,2.2,3.9,6,No,0
208,24,F,Sales,8,2.5,3.4,1.5,55,Yes,0
209,45,M,Sales,5,2.4,3.5,5.0,30,Yes,1
210,28,F,Marketing,4,4.9,5.0,2.2,44,No,1
211,24,F,IT,9,4.5,4.7,4.4,78,Yes,0
212,37,M,HR,8,1.3,4.1,4.2,24,Yes,0
213,45,F,Marketing,3,3.3,4.3,3.8,67,Yes,0
214,27,F,IT,1,3.2,2.5,1.4,30,No,0
215,23,F,IT,2,1.8,3.4,1.5,78,No,0
216,51,F,Marketing,7,1.3,3.5,3.7,59,Yes,1
217,37,F,Sales,3,4.1,1.2,3.9,79,No,0
218,28,M,HR,5,1.5,3.4,4.6,58,No,0
219,55,F,IT,3,4.1,1.4,3.7,22,Yes,0
220,33,M,HR,4,4.6,4.5,2.8,43,No,0
221,18,M,IT,2,4.4,1.7,3.0,43,Yes,1
222,19,M,Marketing,8,2.8,3.2,3.9,88,Yes,1
223,25,F,Marketing,7,1.9,4.2,4.9,0,Yes,0
224,20,F,Finance,9,2.8,3.5,2.4,6,Yes,0
225,58,F,HR,5,3.6,1.6,4.8,58,No,1
226,43,M,Marketing,9,2.9,4.5,3.7,83,No,1
227,18,F,Finance,7,2.5,3.0,4.5,82,No,1
228,26,M,IT,4,4.8,3.6,3.4,12,No,0
229,22,M,IT,3,1.8,1.2,2.4,11,Yes,0
230,32,F,Finance,4,1.7,2.4,3.2,93,No,0
231,37,M,Sales,8,3.7,3.6,2.0,87,Yes,0
232,31,M,Finance,4,3.7,2.7,1.9,83,Yes,1
233,46,M,Finance,8,1.7,1.6,3.3,2,Yes,1
234,22,F,Marketing,3,2.3,2.5,2.8,85,No,1
235,37,M,IT,7,1.1,5.0,1.4,21,No,0
236,29,F,Marketing,5,4.5,4.6,1.1,18,No,1
237,22,F,HR,3,4.4,2.3,3.3,11,No,1
238,25,M,Marketing,5,4.6,3.8,3.6,58,No,1
239,52,F,IT,1,4.3,3.3,3.2,92,Yes,1
240,26,F,HR,2,2.9,4.1,3.9,64,No,0
241,52,M,Sales,1,2.3,1.0,1.2,3,Yes,1
242,60,M,IT,2,4.0,3.9,4.1,97,No,1
243,56,M,Marketing,5,4.6,4.2,3.7,16,No,0
244,25,M,Sales,8,3.3,2.8,3.2,2,No,0
245,47,M,IT,8,3.5,4.8,3.2,72,Yes,1
246,58,F,Sales,2,3.4,4.2,1.5,62,No,1
247,29,M,Finance,3,4.3,2.9,4.3,27,Yes,0
248,27,F,Finance,9,3.3,3.1,1.8,41,No,1
249,58,F,HR,9,2.4,4.1,3.3,95,No,1
250,55,F,Finance,6,4.6,1.1,1.5,8,Yes,1
251,34,F,HR,5,2.7,2.1,3.4,43,Yes,0
252,53,F,HR,7,4.3,4.3,3.9,14,No,0
253,29,F,Sales,5,1.7,3.7,2.5,8,No,0
254,48,M,HR,8,3.9,1.3,4.2,15,No,1
255,28,F,Marketing,4,2.2,1.6,4.9,12,No,1
256,58,F,HR,1,2.9,2.6,2.9,9,Yes,0
257,19,F,IT,7,4.8,1.5,4.0,22,No,0
258,56,M,Marketing,7,1.8,3.9,4.3,95,No,1
259,60,M,HR,3,3.4,3.2,2.2,78,No,0
260,56,M,Finance,8,4.0,3.8,1.9,62,No,0
261,24,F,Sales,8,3.6,2.2,4.8,8,No,1
262,64,F,HR,5,3.2,1.2,4.2,67,Yes,0
263,39,F,HR,8,3.8,1.9,2.5,42,No,1
264,56,F,IT,4,4.8,3.9,2.5,97,Yes,0
265,31,F,Sales,3,2.0,4.9,4.5,62,Yes,1
266,18,F,Marketing,5,2.3,1.0,3.9,28,No,1
267,44,M,IT,3,2.2,2.5,1.8,56,No,1
268,58,F,HR,1,3.3,4.4,4.2,38,No,0
269,42,F,Finance,9,3.0,1.9,1.9,97,Yes,0
270,48,M,Marketing,5,3.6,1.1,1.3,20,Yes,0
271,28,M,IT,4,3.7,4.8,2.5,60,No,1
272,48,F,HR,8,4.0,4.5,3.8,13,Yes,1
273,37,F,IT,8,5.0,4.4,3.5,95,No,1
274,29,F,Marketing,7,1.2,1.8,3.8,18,No,0
275,43,F,Marketing,1,1.7,3.6,3.8,71,Yes,1
276,21,F,Marketing,5,3.3,4.6,4.4,12,No,1
277,63,F,IT,6,3.8,2.8,3.7,91,Yes,0
278,55,F,IT,3,4.3,1.9,1.4,57,Yes,1
279,42,M,Finance,8,4.8,1.5,3.2,63,No,0
280,30,F,HR,3,4.5,3.7,3.6,1,No,0
281,36,F,Finance,3,4.0,1.9,4.7,40,Yes,1
282,27,F,Sales,4,4.0,1.2,4.7,93,No,0
283,21,M,IT,3,1.6,1.0,1.4,50,No,0
284,53,F,HR,3,4.6,2.6,4.5,54,No,1
285,30,F,HR,1,2.7,2.3,3.7,9,No,1
286,43,F,Sales,1,1.8,2.2,2.2,46,No,0
287,35,F,IT,9,2.3,1.3,1.9,44,No,0
288,41,F,Finance,2,2.0,2.2,2.2,3,No,1
289,38,F,Sales,7,3.5,4.4,1.4,58,Yes,1
290,48,F,IT,4,2.8,2.4,1.3,8,No,0
291,60,F,Marketing,1,2.1,4.7,1.1,4,Yes,1
292,48,F,Sales,6,2.5,4.9,3.3,45,No,0
293,57,F,IT,9,2.7,4.0,2.5,48,No,0
294,19,F,Finance,8,4.6,2.1,4.2,10,No,1
295,32,M,Marketing,7,4.2,1.6,1.0,31,No,0
296,28,M,Sales,3,4.1,2.9,4.6,15,Yes,0
297,21,M,Sales,1,1.1,2.5,1.6,24,Yes,0
298,21,F,Finance,8,4.7,4.2,4.8,96,No,0
299,38,M,Finance,3,4.5,4.2,2.2,26,No,1
300,47,M,Marketing,1,2.0,4.5,3.9,44,Yes,1
301,53,M,Sales,5,4.0,1.7,3.7,61,Yes,1
302,27,F,HR,5,3.0,4.6,3.7,20,No,1
303,61,F,Marketing,8,3.6,3.1,4.9,7,Yes,0
304,39,F,Marketing,6,4.3,4.6,3.9,21,Yes,1
305,55,F,Marketing,6,4.6,3.7,4.2,28,No,1
306,60,F,HR,2,2.9,1.0,4.2,75,Yes,1
307,61,M,IT,5,3.8,2.4,1.0,40,No,0
308,29,F,Finance,1,3.1,3.3,4.2,74,Yes,1
309,43,F,Finance,2,3.7,4.3,3.1,8,Yes,0
310,49,M,Marketing,8,1.9,4.9,2.2,65,No,0
311,61,M,IT,9,4.4,3.0,1.9,47,No,0
312,37,F,IT,2,1.5,3.3,1.9,96,No,1
313,64,F,IT,4,1.6,3.3,2.7,47,Yes,1
314,55,M,Finance,4,4.4,3.0,3.2,53,No,1
315,44,F,IT,6,1.3,1.7,2.8,79,Yes,0
316,49,F,Marketing,4,4.8,2.4,1.9,19,Yes,1
317,52,F,Sales,7,1.1,2.7,2.6,61,Yes,1
318,62,F,Finance,4,4.3,4.8,5.0,57,Yes,0
319,46,M,HR,3,3.7,3.2,1.3,48,Yes,0
320,51,F,Marketing,3,1.7,2.7,4.0,45,No,0
321,20,F,Finance,7,4.2,4.6,1.6,95,No,0
322,25,F,HR,6,4.6,2.6,3.2,23,Yes,0
323,22,M,IT,2,3.6,3.5,1.1,72,Yes,1
324,38,F,Finance,7,4.2,2.5,4.6,27,No,1
325,52,F,HR,5,4.7,1.2,1.5,39,Yes,1
326,60,F,HR,5,2.6,4.5,1.4,6,No,0
327,48,M,Finance,4,3.9,1.0,2.8,58,Yes,0
328,22,M,Finance,6,1.8,1.7,1.8,48,No,0
329,38,F,HR,1,3.4,1.8,3.7,10,No,1
330,24,M,Marketing,6,1.3,3.5,3.1,10,Yes,1
331,52,M,Marketing,6,4.6,4.8,5.0,71,Yes,1
332,23,F,IT,3,4.0,1.6,2.3,35,No,1
333,20,F,HR,3,4.9,3.3,2.4,15,Yes,0
334,45,F,Marketing,9,3.1,2.2,1.7,77,No,0
335,31,F,Finance,9,1.1,1.2,1.6,9,No,1
336,28,F,Marketing,8,4.7,2.5,2.4,52,Yes,0
337,20,M,HR,8,2.1,2.1,4.5,91,No,0
338,51,F,Sales,7,1.8,3.3,3.2,26,Yes,1
339,40,F,HR,9,1.2,3.1,4.5,9,No,0
340,18,M,Sales,5,3.4,1.1,1.1,90,Yes,1
341,44,F,Sales,8,4.2,1.1,3.3,19,No,0
342,47,M,IT,3,1.5,1.4,2.1,43,No,0
343,39,M,Sales,8,3.5,3.5,3.1,54,Yes,0
344,41,F,HR,5,2.4,1.6,3.1,71,No,0
345,42,M,Marketing,4,2.5,3.6,1.9,98,Yes,1
346,40,M,HR,2,4.5,1.1,1.3,27,No,0
347,31,M,IT,8,4.4,3.2,3.5,48,No,0
348,35,M,HR,1,3.4,3.3,3.5,0,Yes,1
349,21,M,Marketing,3,2.9,1.7,1.9,13,No,0
350,28,F,Marketing,7,1.9,1.0,2.1,23,Yes,0
351,45,F,IT,6,1.2,1.3,2.8,81,No,1
352,29,M,Marketing,4,1.8,3.2,3.5,26,No,0
353,62,F,Finance,6,1.2,4.7,2.8,62,Yes,0
354,64,M,Sales,7,3.8,4.7,2.4,59,Yes,1
355,32,F,Finance,5,1.4,2.1,1.0,27,No,1
356,20,M,Sales,5,1.6,2.4,2.8,59,Yes,0
357,23,M,IT,6,3.6,2.6,4.8,48,Yes,0
358,42,M,Finance,9,2.8,2.2,2.1,46,Yes,0
359,23,F,Marketing,7,1.9,1.7,3.9,38,Yes,0
360,55,F,HR,2,1.0,2.0,2.5,3,No,0
361,62,M,HR,9,1.1,1.9,3.1,75,No,0
362,57,M,HR,7,3.6,3.2,1.2,22,Yes,1
363,35,M,Finance,9,4.6,2.2,3.0,36,Yes,1
364,63,M,Marketing,6,2.7,3.5,1.7,46,No,0
365,36,M,Sales,9,4.0,2.6,3.9,85,Yes,1
366,19,M,Marketing,3,2.4,4.0,1.5,47,No,1
367,24,F,HR,7,2.4,2.1,4.3,4,No,0
368,35,M,Sales,5,3.2,2.6,4.2,14,No,1
369,19,M,Sales,6,4.3,1.5,4.6,30,Yes,0
370,27,F,Sales,7,2.9,4.4,1.6,56,Yes,1
371,48,M,Sales,8,1.0,3.8,4.6,20,No,1
372,34,M,IT,5,4.5,4.1,4.9,67,Yes,0
373,29,F,Marketing,7,2.4,4.8,1.5,60,No,1
374,55,F,Sales,4,1.6,4.9,3.6,92,No,1
375,57,M,IT,6,1.2,2.8,2.8,14,Yes,0
376,36,M,Finance,2,3.4,1.9,4.6,52,Yes,0
377,47,F,HR,9,1.8,1.1,1.9,92,No,0
378,29,M,Sales,3,1.3,4.4,4.4,6,No,0
379,51,F,Marketing,1,3.9,4.3,1.6,6,Yes,1
380,37,F,Sales,4,1.2,1.7,3.6,78,Yes,1
381,42,M,Sales,4,3.0,2.2,1.9,44,Yes,1
382,55,F,Marketing,9,4.9,2.0,4.4,91,No,1
383,29,M,Finance,2,4.5,4.8,4.3,64,No,1
384,22,M,HR,6,3.7,2.7,1.5,62,Yes,0
385,46,M,Finance,1,1.5,2.7,3.2,77,Yes,0
386,37,F,IT,9,1.5,1.5,1.8,89,No,1
387,19,M,Marketing,1,4.7,4.8,4.6,85,No,0
388,47,F,HR,4,1.6,4.9,2.6,21,Yes,1
389,59,M,Sales,6,2.1,4.6,4.3,27,No,0
390,37,M,IT,2,2.3,1.6,2.3,84,Yes,1
391,37,F,IT,4,3.9,1.7,2.7,0,No,0
392,58,M,Marketing,1,4.2,1.3,1.6,97,No,1
393,44,F,Marketing,6,1.3,4.8,4.3,51,Yes,0
394,27,M,Sales,3,4.1,1.5,2.4,71,Yes,0
395,47,F,IT,4,3.3,4.3,3.1,72,Yes,0
396,44,M,Sales,8,1.3,4.3,4.2,42,No,0
397,34,F,IT,7,2.1,1.5,4.8,81,Yes,1
398,32,F,Sales,9,3.0,4.1,4.0,37,No,0
399,54,M,HR,5,3.6,3.4,2.7,47,No,1
400,55,F,HR,2,4.5,3.4,2.4,34,Yes,1
401,21,M,IT,5,3.7,2.0,3.5,37,No,1
402,56,M,HR,7,2.6,2.3,1.5,70,No,1
403,49,F,Finance,3,4.8,2.1,2.9,95,Yes,0
404,26,F,HR,7,3.3,1.4,2.8,98,No,0
405,38,F,IT,1,1.5,3.1,4.9,27,No,0
406,62,F,HR,4,1.9,1.9,3.1,5,No,1
407,24,M,Marketing,4,3.7,2.6,2.1,93,Yes,0
408,55,M,IT,4,4.2,1.2,1.9,90,No,1
409,61,M,Marketing,5,2.6,4.2,3.6,42,Yes,1
410,36,F,IT,5,3.1,2.5,2.3,15,Yes,1
411,46,M,Sales,8,4.7,2.6,3.3,10,Yes,0
412,51,M,Finance,6,5.0,2.9,1.8,12,No,1
413,37,F,Sales,3,5.0,3.5,4.4,93,Yes,0
414,33,M,Marketing,5,3.7,4.2,4.0,88,No,0
415,23,M,Sales,3,1.7,4.5,4.6,75,Yes,0
416,24,F,Marketing,8,3.3,4.9,4.8,45,Yes,1
417,38,M,Marketing,4,3.0,4.0,3.8,84,No,0
418,31,F,HR,4,1.9,3.1,3.5,59,No,0
419,47,F,IT,6,1.9,4.7,4.3,48,Yes,0
420,34,M,Marketing,6,3.1,2.3,1.5,88,No,1
421,26,M,IT,6,1.7,2.2,1.4,65,Yes,0
422,38,M,IT,4,1.0,4.9,2.7,11,Yes,0
423,52,M,HR,8,5.0,2.3,3.4,51,No,1
424,34,M,IT,9,1.6,3.7,4.1,23,Yes,0
425,27,M,IT,1,2.3,2.7,2.0,66,No,1
426,42,M,IT,7,3.3,4.2,1.3,27,No,1
427,42,M,Marketing,4,3.9,1.5,5.0,54,Yes,1
428,64,F,IT,1,4.8,1.3,2.2,85,Yes,0
429,55,M,Sales,5,1.5,1.0,4.1,80,No,0
430,44,M,Marketing,3,4.9,2.0,3.4,89,Yes,0
431,25,M,Finance,1,3.6,3.2,3.8,39,Yes,1
432,45,M,Marketing,8,2.0,1.9,4.1,27,Yes,1
433,42,M,Finance,5,3.4,1.1,4.4,78,No,1
434,28,F,Finance,1,4.0,3.1,1.5,66,No,0
435,22,F,Finance,6,2.8,2.4,3.2,24,Yes,1
436,37,M,HR,4,1.7,2.4,1.0,0,No,0
437,51,M,Sales,7,4.6,4.4,4.8,8,No,0
438,46,M,Marketing,6,1.0,1.8,1.7,32,No,1
439,49,F,Sales,8,1.4,3.0,3.8,53,No,1
440,18,M,Sales,2,2.3,2.3,4.4,67,Yes,1
441,34,F,Finance,2,4.9,4.7,1.4,31,Yes,1
442,21,M,Finance,5,1.0,4.3,4.6,71,No,1
443,53,M,Sales,7,4.3,3.9,1.8,58,No,0
444,35,M,Sales,5,4.6,4.5,4.9,38,No,0
445,52,F,HR,6,2.2,2.3,4.6,34,Yes,0
446,48,F,Sales,1,3.9,3.8,1.1,71,No,0
447,39,M,Finance,2,3.2,4.2,3.5,90,Yes,0
448,52,M,Marketing,1,3.7,1.9,3.3,8,Yes,1
449,19,M,Finance,9,3.8,1.9,2.5,9,No,0
450,49,M,IT,7,3.0,3.5,3.7,26,Yes,0
