CustomerID,Age,Gender,Location,PurchaseFrequency,AvgOrderValue,TimeSinceLastPurchase,Churn
93,63,F,"Williamburgh, Wisconsin",1,12.32,163,1
94,60,F,"Vickiview, Wyoming",7,92.26,79,1
95,34,F,"Bradleyborough, Nevada",19,112.44,144,1
96,68,F,"East Matthew, Arkansas",9,174.43,178,1
97,64,F,"Michaelborough, Iowa",17,85.52,354,0
98,53,F,"Samuelmouth, Georgia",15,128.22,285,1
99,20,F,"South Steven, Kansas",8,99.96,220,0
100,35,F,"East Melvin, Kentucky",4,72.76,191,0
101,49,M,"Albertstad, New Mexico",8,38.17,154,1
102,23,F,"South Garrett, Colorado",8,133.0,112,1
103,55,M,"Williamville, South Dakota",13,69.7,106,1
104,64,F,"Port Samanthashire, Louisiana",16,87.38,120,0
105,27,M,"Dawsonside, Wisconsin",8,179.8,115,0
106,20,M,"South Stephanie, Kentucky",3,107.74,122,1
107,33,M,"Andrewview, Tennessee",18,133.44,185,0
108,29,M,"Smithfurt, Georgia",7,165.27,154,0
109,34,F,"Fishermouth, Idaho",3,92.59,131,0
110,65,M,"Port Matthew, Arkansas",8,74.2,356,1
111,26,F,"Kellimouth, Oklahoma",4,198.97,243,0
112,56,M,"Richland, Mississippi",11,178.26,102,1
113,53,F,"Port Rebeccaville, Nevada",17,65.11,52,0
114,36,F,"South Elizabethstad, New Mexico",16,91.08,299,1
115,24,M,"East Zacharyside, Tennessee",2,177.22,176,1
116,34,M,"New Margaretview, Massachusetts",12,62.9,73,0
117,64,F,"Lake Ryan, Missouri",7,110.05,103,1
118,50,M,"South Ronaldchester, Hawaii",9,100.51,291,0
119,32,F,"East Daniel, Missouri",1,81.42,131,0
120,40,M,"Albertview, Connecticut",5,87.82,57,0
121,53,F,"Johnsontown, Massachusetts",3,94.51,172,1
122,67,M,"Jillfurt, Montana",11,175.61,125,0
123,35,M,"Sanfordfort, Pennsylvania",9,128.09,31,0
124,41,M,"New Rick, Maryland",2,166.69,309,0
125,56,F,"East Briannaville, Maryland",18,185.77,82,1
126,58,M,"South Nicholas, Ohio",19,33.83,206,0
127,56,F,"South Cody, North Dakota",8,107.45,50,0
128,37,F,"Kleinview, Missouri",10,178.64,194,1
129,26,F,"Derekshire, Nevada",13,16.44,158,0
130,59,F,"Port Richard, Michigan",4,96.54,166,0
131,52,F,"Estradaland, Texas",5,27.83,156,1
132,27,M,"North Brianberg, South Dakota",7,114.96,55,1
133,62,F,"Port Alexandra, New York",8,158.57,100,1
134,37,M,"North Christinefort, Alaska",19,166.82,111,1
135,32,F,"Hansenfort, West Virginia",9,125.91,133,0
136,55,M,"Robertsburgh, Indiana",17,19.74,89,1
137,48,F,"Susanshire, Alabama",1,129.31,226,0
138,49,M,"South Larry, Kentucky",17,42.62,307,0
139,33,M,"Jaredland, Vermont",6,95.52,335,0
140,69,M,"Sandrafurt, Pennsylvania",10,119.39,75,1
141,41,M,"West Michele, Massachusetts",4,197.28,29,0
142,56,M,"Kayleebury, Kentucky",13,78.88,97,0
143,45,M,"Lake Jacqueline, Kansas",10,101.7,283,1
144,57,F,"Amandaview, Oregon",10,36.24,291,1
145,54,M,"Moseschester, New Mexico",16,197.63,30,1
146,57,M,"Nicolefort, Iowa",19,85.38,84,1
147,59,M,"Schneiderchester, Louisiana",18,178.07,198,0
148,43,F,"North Lindashire, Illinois",13,33.38,214,1
149,56,F,"Tylerview, Oklahoma",18,96.35,145,1
150,33,M,"Cherylview, North Carolina",17,182.84,3,0
151,67,F,"Timothyview, Maine",1,93.59,85,0
152,43,F,"Angelastad, New Mexico",19,153.3,13,1
153,57,M,"Ballmouth, Wisconsin",15,152.35,100,0
154,44,M,"Wagnerville, Mississippi",10,194.41,232,0
155,34,F,"West Curtismouth, Missouri",3,163.91,107,0
156,26,M,"Kingville, Connecticut",9,199.35,255,0
157,69,F,"Lopezton, West Virginia",16,52.77,32,0
158,19,F,"Denisefurt, North Dakota",13,59.58,2,1
159,56,M,"Grantmouth, Ohio",8,97.23,268,1
160,25,F,"Rothhaven, Alabama",11,134.71,336,1
161,29,F,"Fernandezstad, Vermont",6,145.91,55,0
162,38,M,"Lake Isaacchester, Washington",8,146.93,46,0
163,55,F,"West Joann, Nevada",18,127.66,322,0
164,62,M,"Markfort, Alabama",5,112.71,110,1
165,44,F,"New Natashafort, Nevada",9,84.33,16,0
166,22,M,"Port Jonathan, Hawaii",8,150.8,184,0
167,24,F,"South Joseph, Nevada",3,41.73,363,0
168,56,M,"Lake Margaretborough, Washington",14,145.78,207,1
169,28,F,"Lake Steven, Rhode Island",17,82.82,21,1
170,57,M,"Randyton, Missouri",3,171.9,306,0
171,63,F,"North Kaitlinville, Oklahoma",14,30.04,346,0
172,63,M,"Alanburgh, Ohio",12,194.53,100,1
173,45,F,"North Joshuafort, Hawaii",7,38.26,342,1
174,26,M,"Martinchester, Ohio",17,162.52,229,0
175,63,M,"East Amyport, Alabama",7,100.14,356,0
176,21,F,"New Bailey, Oregon",5,97.04,273,0
177,52,F,"North Sandramouth, New Hampshire",19,22.2,150,0
178,22,M,"West Trevor, New Mexico",12,184.17,111,0
179,65,M,"North Ritastad, Florida",12,166.48,354,1
180,22,F,"North Theresashire, South Dakota",3,144.15,152,1
181,37,M,"Saraside, North Carolina",15,106.5,338,0
182,59,M,"North Monica, Georgia",12,75.41,29,1
183,36,F,"East Dawnfurt, Utah",12,23.92,147,0
184,61,M,"Port Wesleyview, Florida",3,113.56,173,0
185,35,F,"Port Peter, Virginia",11,131.07,357,0
186,29,F,"Chaneyport, Rhode Island",6,73.0,276,0
187,33,M,"Osborneburgh, New Hampshire",10,50.67,279,0
188,64,F,"Russellburgh, Maryland",4,16.51,30,1
189,29,M,"New Michele, Missouri",5,164.1,112,0
190,49,M,"Morganside, Massachusetts",14,80.22,73,0
191,57,F,"Meghanborough, Maryland",6,102.97,266,1
192,63,F,"Derekfurt, Indiana",6,149.18,122,1
193,44,F,"Lake Jenniferland, Alaska",18,44.25,298,0
194,50,M,"West Nicolechester, Arizona",16,118.41,324,1
195,29,M,"Hodgeside, Montana",1,187.65,82,0
196,23,F,"Walkerfort, Colorado",16,145.62,125,0
197,18,F,"Port Jill, Mississippi",18,183.27,250,0
198,62,M,"West Jennifer, South Dakota",7,137.55,135,1
199,64,M,"Lake Richardtown, Connecticut",11,108.78,4,1
200,56,F,"North Becky, New Hampshire",1,179.13,174,1
201,53,M,"Josephmouth, Texas",4,10.61,257,0
202,62,M,"Patriciaside, Texas",7,104.42,153,0
203,56,F,"Kellyfurt, Louisiana",13,172.24,23,1
204,45,F,"Port Jenniferchester, Rhode Island",15,17.61,19,1
205,35,M,"Port Pamela, Mississippi",16,80.41,227,1
206,57,M,"Rebeccaport, Alabama",18,114.16,311,1
207,68,F,"Smithview, New Jersey",15,105.86,83,1
208,42,M,"Hopkinsstad, North Dakota",5,62.21,154,1
209,47,M,"South Julie, Nevada",12,53.98,4,1
210,63,F,"New Jeanette, Utah",16,19.61,167,1
211,46,M,"East Christinastad, Oklahoma",18,67.31,325,1
212,54,M,"New Kennethville, Michigan",8,34.81,90,1
213,51,M,"Mariastad, Massachusetts",1,114.09,320,0
214,63,F,"Brandimouth, Texas",12,28.02,189,0
215,40,M,"West Matthew, Delaware",18,89.61,200,0
216,49,M,"West Antoniotown, Wyoming",14,157.76,192,1
217,21,M,"West Joshuaport, Washington",3,112.42,165,1
218,32,M,"Smithstad, Oklahoma",8,17.56,241,1
219,40,F,"Gutierrezmouth, Louisiana",5,108.2,354,0
220,20,M,"Staffordshire, Oklahoma",2,63.62,100,0
221,52,M,"Ramirezfurt, Rhode Island",8,70.06,139,0
222,61,M,"North Hunterside, Oklahoma",6,30.24,47,1
223,51,M,"Cummingschester, New Mexico",13,138.13,159,0
224,39,M,"Judithton, Montana",8,103.87,260,1
225,38,M,"Douglasberg, Pennsylvania",11,93.01,137,0
226,46,M,"Port Meghan, Utah",6,89.53,216,1
227,39,F,"Johnfurt, Utah",5,188.7,213,0
228,37,M,"East Gabriella, West Virginia",9,82.43,363,0
229,57,F,"Christopherfort, New Mexico",15,190.28,190,1
230,25,M,"West Melissaview, South Dakota",15,101.07,146,0
231,61,F,"North Christopherstad, Florida",2,99.57,35,1
232,50,F,"New Jamie, Rhode Island",7,88.58,154,1
233,62,F,"Osbornstad, Texas",9,105.31,219,0
234,30,F,"Andrewstad, Connecticut",9,91.75,242,0
235,58,M,"Brownland, Georgia",3,28.77,40,1
236,56,F,"North Christopherfurt, Virginia",17,181.96,347,1
237,43,M,"East Michael, Nevada",8,64.75,29,1
238,43,F,"New Donald, Mississippi",17,52.75,56,1
239,40,M,"Port Brenda, New York",4,44.27,54,0
240,23,F,"East Paul, Tennessee",19,37.99,261,1
241,45,F,"Rogerberg, Massachusetts",7,187.29,8,1
242,23,F,"East Whitney, Alaska",7,14.18,16,0
243,67,F,"Lake Nichole, Indiana",15,88.2,160,1
244,62,M,"East Scottport, Kentucky",17,25.96,172,0
245,60,F,"Port Alexandra, Maryland",12,25.76,265,0
246,48,M,"Jenniferbury, Missouri",17,62.6,249,1
247,62,F,"Michaelburgh, Virginia",8,18.39,292,0
248,50,F,"Perrymouth, New Hampshire",13,183.85,31,1
249,66,F,"Lake Sarahstad, Oregon",14,101.71,114,0
250,27,M,"Ryanburgh, New Jersey",13,128.66,18,0
251,33,F,"Sototon, Kansas",16,120.39,161,0
252,18,F,"Port Scott, Illinois",17,66.92,52,1
253,46,M,"Stevensshire, Connecticut",18,199.7,245,0
254,20,M,"North Christina, North Dakota",7,199.85,346,1
255,28,F,"West Marissa, Delaware",14,63.94,96,0
256,24,F,"Samanthaton, Mississippi",13,34.96,353,1
257,24,M,"West Antonio, New Jersey",6,50.67,197,1
258,61,M,"Port Donna, Florida",1,21.03,309,0
259,19,M,"Christopherberg, Tennessee",6,161.51,21,0
260,19,F,"Kellymouth, Texas",18,24.73,95,1
261,32,F,"Shannonmouth, Illinois",3,66.88,134,0
262,52,M,"Port Amyfurt, South Dakota",18,43.52,31,1
263,33,F,"Parkermouth, West Virginia",5,74.54,9,0
264,22,F,"Daniellefurt, Nebraska",8,155.85,84,1
265,47,F,"Smithtown, Arizona",17,125.12,297,1
266,68,F,"Mooreland, Indiana",17,199.72,14,0
267,69,F,"Port Katherine, Pennsylvania",7,121.32,352,1
268,52,M,"Bryanville, Connecticut",19,196.9,36,1
269,20,M,"Port Timothy, Rhode Island",18,81.7,266,1
270,40,M,"Lake Elizabeth, Michigan",16,118.27,33,0
271,39,M,"Jenniferfort, Hawaii",15,86.56,274,0
272,29,F,"Courtneyfort, New Jersey",19,93.86,44,1
273,41,M,"Christopherfort, Georgia",3,64.5,1,1
274,21,F,"West Melissa, Idaho",7,37.42,214,0
275,20,F,"North Cynthiaberg, Oregon",10,84.9,238,1
276,61,M,"Lake Bobbychester, Ohio",9,23.09,55,0
277,46,F,"Ochoachester, Alaska",4,100.52,187,1
278,67,F,"Port Georgeland, New York",6,117.7,159,1
279,65,M,"Martinbury, Michigan",19,28.4,87,0
280,22,M,"Millerfort, North Carolina",15,88.07,258,1
281,62,F,"Dustinborough, Ohio",18,78.11,143,1
282,53,F,"North April, Vermont",11,174.1,44,0
283,26,F,"Dwayneshire, Arkansas",17,74.27,9,0
284,51,F,"Marytown, California",3,116.63,203,0
285,19,F,"Lindseyton, Illinois",18,94.67,180,1
286,38,M,"East Paul, Alaska",6,22.84,61,0
287,67,F,"Coxville, Pennsylvania",16,113.16,42,0
288,18,M,"New Ryan, Delaware",6,121.51,64,0
289,23,F,"East Patricia, Delaware",4,192.1,348,0
290,46,M,"North Pamelaview, Wyoming",15,62.48,50,1
291,19,M,"Lake Stacybury, Iowa",11,84.8,196,0
292,25,F,"Maldonadomouth, Louisiana",15,142.07,157,1
293,53,M,"Christinaville, Ohio",5,78.22,300,0
294,46,M,"East Douglas, Nebraska",15,196.99,203,0
295,38,M,"Port Elizabeth, Mississippi",6,102.26,175,0
296,68,M,"Lake Susan, Illinois",19,86.68,28,0
297,47,F,"New Gina, Michigan",14,110.6,298,1
298,18,F,"West Cherylland, Nevada",2,98.11,333,0
299,37,F,"Michaelstad, Alaska",9,153.4,199,1
300,64,F,"Anthonyfurt, Georgia",11,69.96,207,1
301,18,M,"Mathisville, California",1,143.39,229,1
302,45,M,"Powellchester, Minnesota",6,121.51,158,0
303,59,M,"South Timothyland, West Virginia",8,127.56,228,0
304,58,M,"South Micheleport, Georgia",12,97.52,30,0
305,25,M,"West Sydneychester, Hawaii",7,13.07,163,1
306,37,F,"Port Jenniferborough, Maine",16,116.43,236,0
307,64,M,"West Markborough, Idaho",2,174.84,239,1
308,30,M,"Watkinsborough, West Virginia",3,11.1,147,1
309,57,F,"Richardview, Indiana",8,47.24,114,1
310,43,M,"West William, Tennessee",7,53.27,304,0
311,18,M,"West Lisaton, Tennessee",19,39.19,349,0
312,21,F,"Rodriguezfurt, North Carolina",15,37.71,273,0
313,28,F,"Petersonton, Rhode Island",19,123.44,341,0
314,63,F,"Carrieborough, New Jersey",18,73.23,17,0
315,29,F,"Bondborough, Oklahoma",19,177.54,213,0
316,19,M,"Jeremyland, Arizona",14,114.01,291,0
317,66,F,"New Darius, Florida",4,24.97,151,0
318,60,F,"East Chelsealand, South Dakota",4,25.59,254,0
319,66,F,"Sandraberg, West Virginia",3,177.84,176,1
320,69,M,"West Jonathan, Tennessee",7,32.46,311,1
321,40,M,"Hannahfort, Tennessee",13,172.21,360,0
322,59,M,"Allenfort, North Carolina",15,125.05,77,1
323,51,F,"South Larryfort, Oklahoma",5,147.13,103,1
324,45,M,"South Robertamouth, Montana",2,100.14,20,0
325,49,F,"Danaburgh, Pennsylvania",1,161.98,272,0
326,49,F,"South Jose, Kentucky",17,82.07,49,1
327,39,M,"West Emily, Montana",19,18.73,21,0
328,49,M,"Latashashire, Nebraska",10,67.87,42,0
329,48,M,"Amberport, Wyoming",6,180.02,121,0
330,43,M,"New Lisabury, Nebraska",14,148.08,103,1
331,22,M,"Sarahtown, New Mexico",10,122.62,212,1
332,39,M,"New Audrey, Vermont",5,132.39,46,0
333,32,M,"Lake Darren, North Dakota",15,137.39,194,1
334,45,F,"Gutierrezfort, New Jersey",17,129.11,55,1
335,18,F,"Blakeport, Wyoming",19,153.99,307,0
336,20,M,"West Elizabethborough, Kentucky",5,63.75,95,1
337,57,M,"Coryfurt, Connecticut",11,158.52,338,1
338,65,M,"Amyville, Wisconsin",16,91.44,292,1
339,55,F,"Port Joshua, New Jersey",14,50.1,345,1
340,44,F,"Smithview, Delaware",15,80.02,358,1
341,53,M,"Ashleyhaven, New York",17,61.59,265,0
342,48,F,"Micheleside, New York",10,128.28,221,0
343,24,F,"East Clintonburgh, Kentucky",13,180.38,5,1
344,35,M,"Port Thomasstad, Oklahoma",18,86.44,71,1
345,67,M,"North Brandon, Minnesota",17,125.17,130,1
346,51,M,"Christianland, Arkansas",19,170.12,318,1
347,44,F,"South Katherine, Oklahoma",3,108.77,87,1
348,32,M,"North Kathleen, South Dakota",2,157.6,77,1
349,46,F,"Walterston, Massachusetts",14,40.62,81,0
350,42,F,"Schneiderburgh, Georgia",10,74.84,187,1
351,35,M,"East Ryanside, Nevada",15,16.61,196,0
352,26,F,"West Derrick, Michigan",18,16.88,51,1
353,46,M,"East David, Connecticut",1,198.54,252,0
354,42,M,"Schmidtside, West Virginia",15,73.52,144,0
355,46,M,"Lake Jeremy, New Mexico",16,153.72,21,0
356,52,M,"Lake Katherine, Rhode Island",16,191.72,45,1
357,65,F,"East Mollytown, Washington",5,122.55,355,0
358,26,F,"East Ann, Alabama",10,41.61,77,0
359,61,F,"Mcgeeland, Florida",14,43.87,115,0
360,31,F,"New Maureenside, Indiana",6,29.83,321,1
361,45,M,"Johnsonshire, Washington",3,24.21,265,0
362,62,F,"North Cindychester, Missouri",4,120.63,133,1
363,42,F,"Dawnview, Connecticut",19,117.95,94,0
364,26,M,"North Michaelland, Hawaii",8,181.92,206,1
365,52,M,"Gonzaleztown, Arkansas",1,110.15,21,0
366,26,F,"Matthewborough, Florida",12,178.67,185,0
367,67,F,"Friedmanland, West Virginia",15,189.07,89,0
368,37,M,"East Danielmouth, Oregon",16,106.79,301,1
369,19,F,"Andersonfurt, Idaho",9,25.34,16,0
370,43,M,"North Dennis, Washington",4,36.32,89,0
371,31,M,"Paulside, Connecticut",17,25.28,26,1
372,54,F,"Chadstad, Alabama",12,63.08,92,1
373,27,F,"New Stephanieport, Wyoming",5,98.59,233,0
374,23,M,"Lake Spencer, Arkansas",4,49.64,220,0
375,22,M,"East Cherylfurt, California",18,15.29,247,1
376,67,M,"New Sarahville, Pennsylvania",15,91.76,213,1
377,57,M,"Jenniferchester, Indiana",9,37.18,267,1
378,23,F,"Scottberg, Florida",5,107.88,12,1
379,42,F,"Harrisview, Iowa",9,137.17,358,0
380,23,F,"Port Theresa, Hawaii",10,94.65,73,0
381,60,M,"Jimmymouth, Delaware",18,51.86,136,0
382,65,M,"Littleside, Washington",11,77.05,112,0
383,38,M,"Waltermouth, Alaska",14,170.87,217,1
384,25,M,"Rowetown, Oklahoma",15,139.93,40,1
385,58,F,"Goodwinmouth, Vermont",2,39.59,197,0
386,53,M,"South Heatherfurt, New Jersey",8,45.59,328,1
387,49,F,"Burnettburgh, Kansas",3,132.08,11,1
388,38,F,"Hopkinsbury, Montana",7,131.29,189,0
389,58,M,"Gloriaview, Alaska",10,185.53,287,0
390,34,F,"Boyershire, Hawaii",6,114.05,297,0
391,28,F,"Lake Anthonychester, Utah",8,96.74,241,1
392,59,M,"New Frank, Illinois",8,71.06,38,1
393,19,F,"West Jacquelinemouth, North Carolina",13,58.3,40,0
394,66,M,"New Monica, Louisiana",19,98.27,308,0
395,64,M,"Lake Eric, Nevada",11,25.3,313,1
396,60,F,"Nicholasbury, Minnesota",11,119.42,203,1
397,27,M,"Timothyburgh, Arkansas",17,177.42,362,1
398,39,F,"Lake Kathleenchester, Illinois",3,178.69,153,1
399,49,F,"West Gail, Oklahoma",14,75.45,166,0
400,68,M,"South Thomas, West Virginia",4,109.66,16,1
401,43,F,"Matthewview, Missouri",11,113.08,278,1
402,37,M,"West Alexanderberg, Nebraska",5,177.18,96,1
403,52,M,"South Anthony, Washington",7,59.4,347,0
404,18,M,"Ryanfurt, Nevada",14,146.53,187,1
405,54,M,"East Karenview, Georgia",11,12.55,204,1
406,36,F,"East Davidbury, Virginia",8,103.84,195,0
407,51,F,"South Carolyn, South Dakota",3,52.73,293,1
408,24,M,"North Timothyside, Minnesota",3,85.6,350,1
409,45,M,"Batestown, Wisconsin",17,41.92,63,1
410,43,M,"Lake Debbiehaven, South Carolina",1,71.55,181,0
411,62,F,"West Jenniferville, Iowa",13,169.56,82,1
412,36,M,"Lake Zoe, Texas",15,120.61,60,0
413,31,M,"Perkinsmouth, Georgia",2,65.07,303,1
414,32,M,"West Justin, New Hampshire",5,186.84,326,0
415,55,F,"West Daniel, Ohio",2,93.04,232,0
416,44,F,"East Lisa, Kentucky",4,67.54,10,0
417,30,F,"Rickyfort, Connecticut",18,32.39,230,1
418,19,F,"North Elaineside, South Carolina",14,59.06,346,1
419,29,F,"West Bonnieside, Idaho",5,36.44,232,0
420,38,M,"Brianburgh, New York",7,23.36,173,1
421,35,M,"Lake Michaelshire, Alabama",19,90.52,199,0
422,32,F,"Lake Tanya, Pennsylvania",14,52.98,108,1
423,21,F,"Deborahhaven, Colorado",10,17.03,44,1
424,31,F,"Edwardsfort, Pennsylvania",18,84.4,355,1
425,60,M,"Stevenfurt, Kentucky",10,78.64,217,0
426,27,F,"Daviston, Pennsylvania",19,172.68,91,0
427,64,M,"Rothhaven, Arkansas",14,97.93,267,0
428,61,M,"New Jasonbury, Delaware",7,171.42,17,0
429,54,F,"Monicafurt, Rhode Island",18,83.85,354,1
430,52,F,"South Jane, Vermont",3,159.22,156,0
431,27,M,"East Laura, Alaska",17,37.6,259,0
432,38,M,"Amytown, Idaho",13,175.83,149,1
433,30,M,"Morganland, Tennessee",10,32.91,121,1
434,42,F,"Guyview, Kentucky",18,47.65,350,1
435,37,F,"New Jason, Oregon",12,151.78,48,0
436,63,M,"Patrickstad, Michigan",7,12.34,293,0
437,58,M,"Jeremyshire, Idaho",8,37.33,92,1
438,54,M,"East Sylviamouth, Rhode Island",17,172.48,9,0
439,41,M,"West Marie, Georgia",13,71.48,48,1
440,58,M,"Knightville, Vermont",8,149.75,224,1
441,68,F,"New Tomborough, Nevada",9,105.09,209,1
442,32,F,"Tylerfort, Ohio",7,185.97,252,0
443,50,F,"Foxborough, Indiana",18,135.62,128,1
444,29,M,"Amyfort, Wyoming",10,56.17,62,0
445,50,M,"Karenmouth, Louisiana",5,89.79,7,1
446,26,F,"West Benjaminstad, Indiana",15,167.2,183,0
447,68,F,"South Fernando, Oregon",19,198.48,51,1
448,21,F,"Samanthamouth, Kentucky",17,105.64,163,1
449,25,M,"Lake Amandafurt, Arkansas",12,177.34,243,0
450,43,F,"North Madison, Virginia",18,182.87,4,0
451,25,F,"Moralesburgh, Oklahoma",18,110.77,227,0
452,60,M,"Stuartview, Maine",5,113.87,214,0
453,21,F,"Nelsonhaven, South Dakota",2,36.53,101,1
454,44,F,"West Morganberg, Montana",1,111.97,10,1
455,67,M,"North James, New York",11,153.06,210,0
456,51,F,"South James, Washington",7,170.81,254,0
457,58,F,"Thomasstad, South Dakota",14,180.47,12,0
458,48,M,"South Melissa, Alaska",12,182.23,231,1
459,67,F,"Michaelburgh, New Jersey",2,76.25,173,1
460,56,M,"Jonathanhaven, Louisiana",7,129.69,350,0
461,51,M,"New David, New Hampshire",10,97.38,145,1
462,27,F,"East Carlosshire, Minnesota",17,69.78,318,0
463,29,M,"Charlesberg, Arkansas",7,35.9,345,0
464,63,F,"Katherineberg, Mississippi",13,15.69,232,1
465,54,F,"Brianland, Virginia",16,130.06,103,1
466,41,M,"Lake Marilynbury, Michigan",13,96.28,99,0
467,39,M,"Johnsontown, Alaska",4,62.31,138,0
468,64,F,"Lake Veronica, Nevada",1,122.4,230,1
469,53,M,"Guerrerostad, Connecticut",13,72.15,289,1
470,33,M,"West Melissaside, Indiana",4,47.98,130,1
471,60,M,"Port Juan, Louisiana",2,96.21,114,0
472,29,M,"Lake Oliviamouth, Utah",9,116.62,78,1
473,67,M,"Port Michael, Arizona",13,97.03,336,1
